rs_school_emis_code,sc_total_exp_current_year,sc_balance,total_funds_available
32330729,5000,82734,87734
32330730,140029,419398,559427
32330732,50000,3252,53252
32330735,50644,20470,71114
32330736,50000,20713,70713
32330737,100000,974209,1074209
32330738,20000,70420,90420
32330740,0,133370,133370
32330743,140000,760213,900213
32330744,79041,443578,522619
32330745,50000,856424,906424
32330746,30000,454475,484475
32330749,41000,31369,72369
32330750,35035,57765,92800
32330751,0,73252,73252
32330752,150000,1116560,1266560
32330753,147450,410899,558349
32330757,186000,683144,869144
32330758,50000,365,50365
32330759,0,119066,119066
32330761,85605,2457,88062
32330762,90000,419699,509699
32330765,28035,195671,223706
32330766,149430,486,149916
32330767,65000,925364,990364
32330768,85500,3622,89122
32330769,200911,856078,1056989
32330770,150000,13726,163726
32330771,119420,598,120018
32330774,31250,426204,457454
32330775,0,96675,96675
32330776,80000,376836,456836
32330777,289070,427922,716992
32330778,120035,591994,712029
32330779,0,0,0
32330780,186160,937550,1123710
32330781,115000,822604,937604
32330782,43000,20398,63398
32330783,53035,26,53061
32330787,119000,39710,158710
32330789,50041,452826,502867
32330790,20000,49447,69447
32330791,0,916162,916162
32330792,1014798,0,1014798
32330794,84647,2000,86647
32330796,38213,858930,897143
32330797,18520,95548,114068
32330800,108395,411294,519689
32330802,50468,0,50468
32330803,133315,80020,213335
32330804,304426,376019,680445
32330805,100065,1400,101465
32330806,74000,917,74917
32330807,47450,30,47480
32330808,52000,3185,55185
32330809,38000,367,38367
32340001,0,0,0
32340003,281565,44326,325891
32340006,162380,303,162683
32340007,435038,7736,442774
32340008,71473,6216,77689
32340009,630505,817,631322
32340010,0,1103,1103
32340012,212835,1080264,1293099
32340013,749548,822860,1572408
32340014,137786,242708,380494
32340015,0,0,0
32340016,103716,1675983,1779699
32340017,154463,30697,185160
32340018,101400,493750,595150
32340019,340000,1234990,1574990
32340020,115000,487535,602535
32340021,166500,471,166971
32340023,0,0,0
32340025,0,0,0
32340026,253500,288832,542332
32340028,45000,984867,1029867
32340029,0,0,0
32340031,20000,554987,574987
32340034,13700,647605,661305
32340036,97500,36638,134138
32340037,62000,39103,101103
32340038,21425,62981,84406
32340045,102244,285046,387290
32340047,27000,485327,512327
32340048,83500,959719,1043219
32340049,189450,841817,1031267
32340050,45000,753777,798777
32340051,150000,179444,329444
32340053,402086,54399,456485
32340054,15000,249134,264134
32340056,105000,1074832,1179832
32340057,24500,239337,263837
32340058,175000,809473,984473
32340061,65000,528614,593614
32340064,136864,5421,142285
32340066,102500,1000095,1102595
32340067,19370,1088624,1107994
32340068,144783,84334,229117
32340071,57454,552419,609873
32340072,30000,144425,174425
32340073,32000,54752,86752
32340075,0,0,0
32340079,121962,8380,130342
32340081,242000,562955,804955
32340082,61236,235163,296399
32340083,116401,130892,247293
32340084,0,0,0
32340085,9000,506472,515472
32340087,194289,175698,369987
32340088,108535,150773,259308
32340089,90070,92306,182376
32340090,26900,149558,176458
32340091,95169,193546,288715
32340093,0,0,0
32340095,56196,121130,177326
32340096,74840,95817,170657
32340097,18000,655027,673027
32340100,161690,204067,365757
32340101,70000,488895,558895
32340103,126530,989542,1116072
32340104,27000,233391,260391
32340107,93000,16308,109308
32340111,148402,116,148518
32340112,104000,855910,959910
32340113,130000,331870,461870
32340115,248000,905157,1153157
32340116,153000,4211,157211
32340120,75332,884069,959401
32340122,0,0,0
32340123,95000,821990,916990
32340124,66795,547708,614503
32340125,77000,968217,1045217
32340127,103879,866625,970504
32340130,198876,2726,201602
32340131,26443,184238,210681
32340135,105721,84354,190075
32340136,232,38283,38515
32340139,60000,517335,577335
32340140,6050,144673,150723
32340141,49118,1225311,1274429
32340142,0,1308967,1308967
32340143,130639,48448,179087
32340144,113300,485676,598976
32340146,74440,50971,125411
32340147,304183,71911,376094
32340148,139756,135829,275585
32340150,12000,225159,237159
32340151,0,416146,416146
32340152,20000,109451,129451
32340153,67000,966193,1033193
32340155,25000,351013,376013
32340157,20000,514610,534610
32340160,0,84421,84421
32340161,77090,306419,383509
32340164,3000,654219,657219
32340166,105000,288856,393856
32340167,30000,42626,72626
32340168,0,0,0
32340169,57000,427903,484903
32340170,0,294415,294415
32340172,108260,1353103,1461363
32340174,15000,1002600,1017600
32340175,0,0,0
32340176,15000,19500,34500
32340178,0,0,0
32340179,0,0,0
32340180,0,80962,80962
32340181,99640,56148,155788
32340182,50000,16766,66766
32340183,0,0,0
32340184,40000,329483,369483
32340186,0,0,0
32340187,0,242772,242772
32340188,103840,21766,125606
32340189,159400,254409,413809
32340190,40000,912571,952571
32340191,351800,951144,1302944
32340192,47000,3554,50554
32340193,0,0,0
32340195,118000,490727,608727
32340196,22000,41618,63618
32340197,74430,112521,186951
32340199,9000,152732,161732
32340200,0,0,0
32340202,0,724033,724033
32340204,22000,73266,95266
32340205,73000,303924,376924
32340208,0,0,0
32340209,50000,767848,817848
32340210,0,172,172
32340211,232000,143036,375036
32340212,95000,112293,207293
32340214,90000,290457,380457
32340216,110057,665441,775498
32340218,99000,60406,159406
32340219,177000,42583,219583
32340220,156000,45518,201518
32340221,0,0,0
32340223,100058,462717,562775
32340224,40000,61648,101648
32340225,85000,305,85305
32340226,165000,73560,238560
32340227,155000,407100,562100
32340228,5000,19778,24778
32340231,0,572265,572265
32340232,100000,1019,101019
32340233,143000,575940,718940
32340234,60000,2094,62094
32340236,0,71881,71881
32340238,228126,196890,425016
32340239,0,0,0
32340240,205000,67175,272175
32340241,183000,4353,187353
32340242,0,0,0
32340243,136000,2970,138970
32340244,30000,209964,239964
32340245,95000,139287,234287
32340246,280000,189116,469116
32340247,130000,78878,208878
32340248,0,0,0
32340249,0,0,0
32340250,54800,98589,153389
32340251,0,0,0
32340255,0,0,0
32340257,0,246975,246975
32340259,0,435,435
32340260,185000,821043,1006043
32340261,0,0,0
32340262,59000,6510,65510
32340263,36904,995773,1032677
32340264,4700,612908,617608
32340267,45500,83676,129176
32340269,35035,95070,130105
32340271,115256,339548,454804
32340272,18825,86040,104865
32340274,89000,411264,500264
32340277,21450,112948,134398
32340278,0,0,0
32340279,148000,55653,203653
32340284,0,0,0
32340285,111800,900669,1012469
32340286,16100,945708,961808
32340299,400000,1373825,1773825
32340300,100000,124,100124
32340301,0,0,0
32340302,20000,113507,133507
32340303,55000,32070,87070
32340307,0,0,0
32340309,148000,491888,639888
32340310,70177,102009,172186
32340311,0,0,0
32340313,0,55554,55554
32340314,132500,61997,194497
32340315,0,55358,55358
32340316,50000,54431,104431
32340317,60000,26731,86731
32340318,57218,29721,86939
32340319,0,0,0
32340320,30000,548680,578680
32340321,20000,41150,61150
32340322,45000,31494,76494
32340323,95395,145345,240740
32340324,4300,44270,48570
32340325,0,0,0
32340327,17000,147831,164831
32340328,50000,889983,939983
32340330,40000,166955,206955
32340331,261000,69546,330546
32340332,155000,452744,607744
32340333,74000,462338,536338
32340335,62000,963801,1025801
32340337,21278,988285,1009563
32340339,70000,902628,972628
32340341,63000,145747,208747
32340342,0,66000,66000
32340344,0,0,0
32340345,91000,92283,183283
32340347,0,29355,29355
32340349,0,68084,68084
32410002,263000,152000,415000
32410004,253531,188633,442164
32410005,259810,93583,353393
32410007,100000,126460,226460
32410009,424242,155894,580136
32410010,36131,658287,694418
32410011,140000,115012,255012
32410012,120000,18524,138524
32410013,0,149224,149224
32410014,96240,38634,134874
32410016,585891,5790,591681
32410017,491769,2078,493847
32410018,859657,498,860155
32410019,0,587138,587138
32410022,362510,201185,563695
32410023,100000,557090,657090
32410025,0,347476,347476
32410026,616143,40580,656723
32410027,72226,332359,404585
32410028,0,10639,10639
32410029,120058,132501,252559
32410030,198000,185804,383804
32410031,245000,76059,321059
32410033,120000,128270,248270
32410034,0,184712,184712
32410035,88500,77358,165858
32410038,0,141712,141712
32410039,98000,430885,528885
32410040,297000,53843,350843
32410041,299095,5087,304182
32410044,256225,250844,507069
32410045,253500,17,253517
32410047,0,0,0
32410048,121332,119299,240631
32410049,169500,32131,201631
32410050,0,216830,216830
32410051,0,231996,231996
32410055,0,209556,209556
32410057,286931,17374,304305
32410058,0,113106,113106
32410059,209073,1020462,1229535
32410063,112000,2356,114356
32410065,62372,21019,83391
32410066,60000,54348,114348
32410067,32500,295020,327520
32410068,70000,59970,129970
32410070,0,0,0
32410071,35000,97001,132001
32410072,38000,1974,39974
32410073,40000,72519,112519
32410075,48000,128195,176195
32410077,80000,74187,154187
32410080,87385,606452,693837
32410081,80000,780081,860081
32410083,0,119616,119616
32410085,30000,539529,569529
32410086,70035,942181,1012216
32410087,64000,419,64419
32410088,80000,4830,84830
32410089,36000,100564,136564
32410090,30000,87658,117658
32410091,50000,31383,81383
32410094,51000,464,51464
32410097,207000,97163,304163
32410099,86406,186761,273167
32410101,43000,3092,46092
32410104,136100,13221,149321
32410105,100315,56120,156435
32410108,75000,70288,145288
32410109,248160,705,248865
32410110,80000,58716,138716
32410119,80093,749819,829912
32410121,34319,25196,59515
32410122,108350,422,108772
32410123,51515,502279,553794
32410126,0,63155,63155
32410127,50000,936274,986274
32410130,34000,38958,72958
32410133,80000,125562,205562
32410134,80000,3064,83064
32410137,133757,0,133757
32410138,40000,75948,115948
32410139,90000,18025,108025
32410140,0,0,0
32410144,42000,23062,65062
32410145,87290,39098,126388
32410146,159790,82255,242045
32410150,200000,46681,246681
32410152,0,58350,58350
32410155,0,86806,86806
32410158,0,200901,200901
32410160,100000,5807,105807
32410161,72000,235,72235
32410162,40000,61728,101728
32410164,0,97056,97056
32410165,0,300121,300121
32410166,270350,72468,342818
32410167,0,226392,226392
32410168,41000,13360,54360
32410169,0,92063,92063
32410172,120000,85478,205478
32410173,44000,84,44084
32410175,99000,12840,111840
32410176,0,89599,89599
32410177,90000,8640,98640
32410181,45000,118065,163065
32410182,68000,979,68979
32410184,170000,22614,192614
32410188,0,179503,179503
32410191,0,125966,125966
32410192,137000,2305,139305
32410193,131000,1663,132663
32410194,78000,82723,160723
32410195,120000,49655,169655
32410202,50000,45536,95536
32410203,110000,237400,347400
32410204,0,1254819,1254819
32410205,120000,109218,229218
32410206,64350,495,64845
32410209,0,258681,258681
32410210,0,146890,146890
32410211,0,57128,57128
32410212,50000,75185,125185
32410213,0,0,0
32410214,120000,104649,224649
32410217,80000,161013,241013
32410218,0,149444,149444
32410219,70000,88009,158009
32410220,40000,29789,69789
32410223,0,77609,77609
32410224,82000,52244,134244
32410225,50000,63071,113071
32410227,0,238537,238537
32410228,52001,38186,90187
32410229,0,149749,149749
32410230,60000,96737,156737
32410231,30000,121060,151060
32410235,0,54803,54803
32410240,0,226529,226529
32410243,0,203368,203368
32410244,40000,21063,61063
32410245,125960,1164,127124
32410246,0,412049,412049
32410247,61000,348,61348
32410248,40000,48629,88629
32410249,61000,646,61646
32410253,150000,1997,151997
32410254,80000,75598,155598
32410255,40000,145400,185400
32410256,50000,912,50912
32410257,38000,709,38709
32410258,77654,822,78476
32410259,0,71259,71259
32410260,0,58948,58948
32410261,40000,19255,59255
32410264,50000,17358,67358
32410266,45000,9115,54115
32410267,50000,14961,64961
32410269,86000,600,86600
32410270,65680,9443,75123
32410271,50000,132095,182095
32410273,68300,353,68653
32410274,0,124861,124861
32410275,90000,16543,106543
32410278,40000,62085,102085
32410279,74000,500,74500
32410281,0,281909,281909
32410282,0,92000,92000
32410285,107338,812,108150
32410286,100000,25002,125002
32410287,0,200840,200840
32410288,80000,10504,90504
32410291,52480,29487,81967
32410292,99706,44148,143854
32410293,90000,41274,131274
32410294,50000,34118,84118
32410295,98015,123964,221979
32410298,174164,180197,354361
32410301,0,143381,143381
32410310,35000,8832,43832
32410312,0,170013,170013
32410314,0,82543,82543
32410315,0,97246,97246
32410318,0,142769,142769
32410320,0,181292,181292
32410321,0,142363,142363
32410322,0,105283,105283
32410326,68890,0,68890
32410327,0,311382,311382
32410328,115000,230237,345237
32410329,40000,74572,114572
32410330,50000,31043,81043
32410332,34000,80846,114846
32410337,37102,7233,44335
32410340,0,74822,74822
32410341,50000,6732,56732
32410342,0,0,0
32410343,120000,28883,148883
32410346,123000,13616,136616
32410347,0,74637,74637
32410348,80000,24536,104536
32410349,0,94647,94647
32410350,175000,497,175497
32410351,0,129799,129799
32410352,40000,84015,124015
32410354,0,0,0
32410358,0,0,0
32410359,50000,67894,117894
32410360,0,0,0
32410362,184000,9318,193318
32410364,0,0,0
32410368,0,62277,62277
32410369,19000,34341,53341
32410370,130000,1549,131549
32410371,110000,30388,140388
32410372,98000,341,98341
32410376,66000,772,66772
32410377,65000,801,65801
32410378,99228,90360,189588
32410383,50000,206500,256500
32410385,142000,135,142135
32410386,65000,410404,475404
32410389,0,207900,207900
32410390,182900,118217,301117
32410391,0,104003,104003
32410392,18000,150186,168186
32410393,124000,40185,164185
32410394,90000,75783,165783
32410395,0,681719,681719
32410396,150783,1007,151790
32410398,82486,100667,183153
32410399,0,90636,90636
32410400,95000,47411,142411
32410402,75000,101623,176623
32410403,123000,497,123497
32410406,80000,79274,159274
32410410,0,0,0
32410411,0,175971,175971
32410412,63300,296,63596
32410415,78000,326,78326
32410416,0,0,0
32410417,94000,4144,98144
32410420,113928,47950,161878
32410421,0,61625,61625
32410422,60000,87983,147983
32410423,102720,95041,197761
32410424,27000,50833,77833
32410428,0,451474,451474
32410429,85000,1627,86627
32410430,63000,237,63237
32410431,50000,51681,101681
32410434,0,223201,223201
32410435,47633,688,48321
32410437,0,67379,67379
32410439,0,92369,92369
32410442,0,155306,155306
32410443,83000,653,83653
32410450,113447,18895,132342
32410451,45000,18541,63541
32410453,58000,892,58892
32410455,80000,29613,109613
32410457,54570,253,54823
32410458,37000,211323,248323
32410460,80000,82558,162558
32410462,56000,1480,57480
32410466,81000,2710,83710
32410469,169000,1356,170356
32410470,0,0,0
32410475,50000,94100,144100
32410483,80000,9592,89592
32410484,0,134286,134286
32410486,0,84321,84321
32410488,87500,250,87750
32410489,60000,20902,80902
32410490,90000,540,90540
32410491,50000,13008,63008
32410492,0,111833,111833
32410496,0,0,0
32410497,70000,2086,72086
32410498,57500,466,57966
32410499,0,104530,104530
32410500,88000,277,88277
32410502,40000,23945,63945
32410503,120070,50650,170720
32410505,0,586000,586000
32410509,71000,986,71986
32410510,37000,305,37305
32410511,0,40447,40447
32410517,30000,21629,51629
32410518,86000,16015,102015
32410519,0,0,0
32410524,30000,30702,60702
32410528,50000,619,50619
32410535,0,64810,64810
32410536,45035,19759,64794
32410537,12000,66696,78696
32410538,65390,14812,80202
32410539,35000,26903,61903
32410541,0,5504,5504
32410542,12000,42545,54545
32410543,32000,17406,49406
32410544,85000,20530,105530
32410545,63000,3539,66539
32410546,43696,40000,83696
32410547,0,210,210
32410550,0,0,0
32410552,120000,106667,226667
32410553,121000,47855,168855
32410554,99000,1591,100591
32410556,40000,157005,197005
32410557,0,200484,200484
32410558,130000,391172,521172
32410559,80000,87472,167472
32410560,25000,117662,142662
32410562,0,126038,126038
32410564,73009,4238,77247
32410565,50000,127531,177531
32410566,80000,166197,246197
32410567,80000,833741,913741
32410568,0,53441,53441
32410569,0,216104,216104
32410570,0,0,0
32410571,0,109169,109169
32410572,0,183125,183125
32410574,50000,28432,78432
32410576,25835,61463,87298
32410580,40000,12103,52103
32410581,40000,78303,118303
32410582,88000,198471,286471
32410584,104044,1578,105622
32410585,124663,8321,132984
32420002,0,1919085,1919085
32420003,729290,194903,924193
32420004,309677,428796,738473
32420006,252600,209602,462202
32420008,266949,0,266949
32420009,0,0,0
32420011,210160,487,210647
32420012,56455,72720,129175
32420013,145454,299271,444725
32420014,427000,5000,432000
32420015,95000,98975,193975
32420016,55472,153076,208548
32420017,354000,15951,369951
32420018,357975,486963,844938
32420019,755207,339141,1094348
32420020,458150,44685,502835
32420021,237000,35508,272508
32420023,0,0,0
32420024,68805,463,69268
32420027,220000,6224,226224
32420028,300263,177000,477263
32420029,180000,7621,187621
32420030,370304,74517,444821
32420031,513902,62520,576422
32420032,0,0,0
32420033,211915,274404,486319
32420034,92000,31220,123220
32420036,7576,262190,269766
32420037,186544,1155,187699
32420038,308661,19313,327974
32420039,238290,44553,282843
32420040,219000,121838,340838
32420042,0,345013,345013
32420044,222817,389244,612061
32420045,216905,25,216930
32420047,0,229060,229060
32420049,221000,168,221168
32420068,22000,681,22681
32420074,90000,115088,205088
32420076,69000,473,69473
32420077,106287,1349621,1455908
32420078,112150,61556,173706
32420080,50000,16009,66009
32420081,0,0,0
32420083,0,62647,62647
32420084,61770,5272,67042
32420087,4400,126,4526
32420091,68000,38122,106122
32420092,60000,80601,140601
32420096,60000,901,60901
32420098,65000,16475,81475
32420100,50000,10449,60449
32420101,135000,1705,136705
32420102,90000,511674,601674
32420104,20000,121392,141392
32420105,79000,2773,81773
32420106,72000,967,72967
32420107,45000,9589,54589
32420108,37500,404,37904
32420109,80000,52506,132506
32420110,58500,384,58884
32420111,50200,3416,53616
32420112,37816,98679,136495
32420113,0,59143,59143
32420115,18000,28658,46658
32420116,0,129951,129951
32420117,60000,50581,110581
32420120,77000,55132,132132
32420122,61500,6677,68177
32420124,90000,41201,131201
32420126,54500,972,55472
32420129,90290,11710,102000
32420130,57150,1459,58609
32420131,85000,10010,95010
32420133,96000,818998,914998
32420134,30000,184700,214700
32420136,90000,393651,483651
32420137,70000,5402,75402
32420139,20000,49747,69747
32420143,49997,3396,53393
32420153,99300,222162,321462
32420154,99114,176254,275368
32420157,56684,153264,209948
32420169,124000,1442,125442
32420173,70000,60228,130228
32420175,128000,46086,174086
32420180,40000,38261,78261
32420185,113000,91554,204554
32420186,56000,105040,161040
32420187,50000,87997,137997
32420189,75000,18469,93469
32420196,110000,815512,925512
32420199,0,0,0
32420200,47013,561,47574
32420203,151510,15022,166532
32420204,74287,33737,108024
32420207,50000,945,50945
32420210,0,67103,67103
32420212,0,859,859
32420213,0,0,0
32420215,25000,26128,51128
32420217,100000,72262,172262
32420218,0,0,24525
32420220,123000,977,123977
32420221,34000,20184,54184
32420222,60000,566,60566
32420225,48000,32829,80829
32420226,63015,1001933,1064948
32420229,60000,7703,67703
32420233,145000,5892,150892
32420234,0,0,0
32420235,0,62669,62669
32420237,57000,7073,64073
32420241,0,0,0
32420247,71000,936,71936
32420249,35000,59367,94367
32420253,143000,361,143361
32420254,76000,113,76113
32420259,0,0,0
32420267,64238,447,64685
32420269,0,0,0
32420270,193000,118016,311016
32420271,88000,38114,126114
32420273,75500,525,76025
32420275,0,0,0
32420276,90000,261201,351201
32420277,45000,50534,95534
32420278,16000,324,16324
32420280,33000,96089,129089
32420283,90000,10877,100877
32420284,0,165559,165559
32420286,75000,5657,80657
32420287,279000,160621,439621
32420288,58000,52988,110988
32420289,0,0,0
32420290,49000,210114,259114
32420291,50000,36052,86052
32420292,45000,119182,164182
32420293,83000,7949,90949
32420295,120290,27425,147715
32420296,146000,435,146435
32420297,77000,68373,145373
32420303,62000,23800,85800
32420305,40000,27930,67930
32420306,50000,58384,108384
32420307,0,0,0
32420308,150000,181405,331405
32420309,35000,141533,176533
32420311,14800,105938,120738
32420312,12000,100322,112322
32420314,40000,59802,99802
32420315,82000,6540,88540
32420318,83000,11604,94604
32420320,0,0,0
32420322,25000,63125,88125
32420323,66000,217220,283220
32420326,0,74966,74966
32420327,33500,27245,60745
32420328,0,222901,222901
32420329,40000,82391,122391
32420330,0,143392,143392
32420331,216,135818,136034
32420332,70091,15277,85368
32420334,90000,68978,158978
32420335,96214,4977,101191
32420337,81844,51813,133657
32420338,0,46078,46078
32420339,50000,54332,104332
32420341,130000,32629,162629
32420343,156825,18227,175052
32420347,100000,2289,102289
32420348,118730,913,119643
32420349,0,0,0
32420355,30000,110415,140415
32420356,0,181980,181980
32420357,0,0,0
32420358,1467,85340,86807
32420359,97000,274,97274
32420361,0,0,0
32420362,0,0,0
32420363,0,0,0
32420364,98449,66666,165115
32420365,0,0,0
32420367,105780,16733,122513
32420368,0,0,0
32420371,120000,59994,179994
32420372,57000,1690,58690
32420373,30000,100011,130011
32420374,0,0,0
32420375,73393,66022,139415
32420378,0,60068,60068
32420379,0,0,0
32420381,76000,53272,129272
32420384,60000,22853,82853
32420385,0,0,0
32420386,46000,3623,49623
32420388,36000,51734,87734
32420390,30000,11292,41292
32420391,50000,42277,92277
32420392,43000,112530,155530
32420396,50000,110787,160787
32420397,20272,98100,118372
32420399,0,124953,124953
32420400,50943,70044,120987
32420401,65000,1084,66084
32420405,96000,89639,185639
32420406,126510,91383,217893
32420408,50000,175382,225382
32420411,0,0,0
32420414,61000,3718,64718
32420417,98097,4,98101
32420421,0,0,0
32420423,62655,64932,127587
32420424,97500,950,98450
32420427,40000,1299,41299
32420432,50000,77537,127537
32420434,28277,48527,76804
32420435,54800,81,54881
32420436,0,81005,81005
32420437,50000,113180,163180
32420444,90000,59013,149013
32420445,80398,31506,111904
32420447,95000,20925,115925
32420448,0,0,0
32420449,80000,2661,82661
32420452,32000,35171,67171
32420460,54000,307,54307
32420461,25000,48778,73778
32420462,77000,746,77746
32420463,140000,1096,141096
32420465,70000,729120,799120
32420468,68000,260,68260
32420470,0,0,0
32420471,125000,5481,130481
32420474,0,0,0
32420475,45000,4779,49779
32420476,140400,445,140845
32420479,9000,522,9522
32420480,2805,87570,90375
32420481,0,0,0
32420486,80500,713,81213
32420488,91000,46,91046
32420494,75862,95585,171447
32420497,22800,23,22823
32420499,64000,471,64471
32420504,52066,58448,110514
32420514,123000,481,123481
32420515,115000,6835,121835
32420519,70184,6454,76638
32420520,0,0,0
32420524,35000,11866,46866
32420551,0,152028,152028
32420553,183100,1840,184940
32420555,0,0,0
32420557,55000,101769,156769
32420558,72000,785,72785
32420560,69000,63230,132230
32420562,72029,118057,190086
32420571,0,0,0
32430004,351766,2087,353853
32430005,49064,54829,103893
32430006,294000,137701,431701
32430008,98000,100896,198896
32430009,282235,243559,525794
32430011,0,0,0
32430012,170927,180803,351730
32430013,160000,72195,232195
32430014,15000,252422,267422
32430015,200175,96998,297173
32430016,72722,332075,404797
32430018,289619,54431,344050
32430019,114000,5433,119433
32430023,92000,900,92900
32430024,50000,38145,88145
32430026,0,0,0
32430028,0,0,0
32430031,0,264170,264170
32430032,95000,790,95790
32430034,50000,38671,88671
32430036,0,96362,96362
32430039,40000,17141,57141
32430040,0,0,0
32430044,300000,194631,494631
32430046,58500,538,59038
32430047,50000,20648,70648
32430048,70000,20363,90363
32430050,42000,911,42911
32430052,0,0,0
32430053,0,0,0
32430057,0,144903,144903
32430058,8,125220,125228
32430060,30000,461139,491139
32430063,95000,43942,138942
32430064,100000,139893,239893
32430065,48000,727,48727
32430066,90000,11768,101768
32430069,0,0,0
32430070,0,98058,98058
32430071,50000,310714,360714
32430072,0,461867,461867
32430076,0,246917,246917
32430077,100000,127447,227447
32430079,45000,6603,51603
32430082,45000,52990,97990
32430085,50000,57147,107147
32430086,0,136695,136695
32430087,301160,153580,454740
32430091,162175,14546,176721
32430092,0,0,0
32430093,25000,102609,127609
32430096,50000,54904,104904
32430097,0,66799,66799
32430099,0,73602,73602
32430101,0,83796,83796
32430102,60000,23066,83066
32430103,28000,989703,1017703
32430104,75000,1744,76744
32430105,9670,571656,581326
32430107,0,299393,299393
32430109,50000,126015,176015
32430110,50000,131199,181199
32430111,50000,23055,73055
32430114,0,4693,4693
32430115,0,0,0
32430116,90000,8692,98692
32430117,0,0,0
32430118,100000,121491,221491
32430119,0,0,0
32430122,50000,144919,194919
32430124,0,109398,109398
32430125,0,186158,186158
32430126,43000,982,43982
32430127,0,0,0
32430129,42000,613,42613
32430131,50000,97540,147540
32430132,0,0,0
32430134,35000,27112,62112
32430137,50000,56966,106966
32430138,0,64863,64863
32430139,52000,46,52046
32430140,50000,546957,596957
32430143,43000,775,43775
32430144,67000,525,67525
32430147,30000,27667,57667
32430148,0,58444,58444
32430149,111000,97,111097
32430154,75000,4377,79377
32430155,105000,3161,108161
32430156,50000,277720,327720
32430157,0,336390,336390
32430158,0,0,0
32430159,0,297334,297334
32430160,48000,1932,49932
32430161,52000,834,52834
32430162,135000,15369,150369
32430163,30000,70937,100937
32430165,0,0,0
32430166,72000,147,72147
32430168,62000,1695,63695
32430169,68000,640,68640
32430170,140000,3297,143297
32430173,91000,1341,92341
32430174,50000,254191,304191
32430178,0,181065,181065
32430179,80000,60113,140113
32430180,75000,3848,78848
32430182,0,106325,106325
32430183,100000,28565,128565
32430184,100000,36124,136124
32430187,95000,99030,194030
32430189,0,0,0
32430190,0,0,0
32430191,55000,438,55438
32430195,0,0,0
32430196,83000,1560,84560
32430197,50000,77814,127814
32430198,0,60951,60951
32430199,138000,1315,139315
32430201,0,198236,198236
32430205,0,175148,175148
32430207,65000,267368,332368
32430209,0,82369,82369
32430213,89000,18123,107123
32430214,10000,198211,208211
32430217,0,0,0
32430218,0,57509,57509
32430219,50000,67127,117127
32430220,65000,1042,66042
32430223,80000,782,80782
32430224,0,112329,112329
32430228,92000,343,92343
32430250,76000,367,76367
32430251,50000,64832,114832
32430259,0,53869,53869
32430260,0,313036,313036
32430263,0,0,0
33110008,55795,205430,261225
33110011,30000,44927,74927
33110013,0,330032,330032
33110014,5054,101232,106286
33110015,0,0,0
33110016,0,113700,113700
33110018,0,180079,180079
33110019,49200,121101,170301
33110021,30854,49024,79878
33110022,14656,392145,406801
33110023,110000,464550,574550
33110024,1635,0,1635
33110025,0,97588,97588
33110026,45000,109971,154971
33110027,25000,224035,249035
33110032,0,681062,681062
33110033,0,76004,76004
33110034,7500,203334,210834
33110035,438655,53374,492029
33110037,10800,49031,59831
33110038,0,104988,104988
33110039,8000,49842,57842
33110044,25129,193870,218999
33110045,0,85906,85906
33110050,0,7027,7027
33110052,25000,49132,74132
33110055,0,120313,120313
33110056,8293,229978,238271
33110059,11287,135529,146816
33110061,236000,613510,849510
33110062,0,204167,204167
33110063,47118,220954,268072
33110066,25000,64992,89992
33110067,0,652,652
33110069,0,230633,230633
33110072,2000,136088,138088
33110073,27874,8239,36113
33110075,0,96893,96893
33110076,0,272265,272265
33110077,25000,211659,236659
33110078,3000,610,3610
33110080,0,60552,60552
33110083,0,72643,72643
33110084,17606,130638,148244
33110085,0,87096,87096
33110086,4000,62846,66846
33110089,103861,29438,133299
33110090,13000,106851,119851
33110091,9799,252667,262466
33110095,17000,60965,77965
33110096,6541,149041,155582
33110097,176684,201319,378003
33110098,89,339046,339135
33110101,0,251008,251008
33110102,96048,43168,139216
33110106,137217,125536,262753
33110107,0,104338,104338
33110110,16369,151619,167988
33110112,0,274297,274297
33110114,0,240406,240406
33110115,0,89530,89530
33110116,8000,114707,122707
33110117,224485,236638,461123
33110118,14220,11711,25931
33110119,7000,67541,74541
33110121,0,296659,296659
33110122,0,247000,247000
33110123,29000,31909,60909
33110124,140560,1475,142035
33110125,0,66145,66145
33110127,19000,188131,207131
33110128,72000,8121,80121
33110129,12000,289993,301993
33110130,0,1456,1456
33110131,13009,96264,109273
33110132,23713,40563,64276
33110134,0,216313,216313
33110135,0,277650,277650
33110137,150,2032,2182
33110138,9032,196819,205851
33110139,8000,106140,114140
33110140,0,317640,317640
33110142,12000,54189,66189
33110143,0,61160,61160
33110144,2970,101658,104628
33110145,0,92108,92108
33110146,0,196871,196871
33110147,0,403600,403600
33110149,0,156602,156602
33110150,0,150715,150715
33110151,71500,115480,186980
33110152,0,240320,240320
33110153,10035,72020,82055
33110154,20000,103772,123772
33110155,0,129663,129663
33110156,30000,69783,99783
33110158,70000,81539,151539
33110160,0,166900,166900
33110161,0,2683,2683
33110163,81519,63151,144670
33110165,65000,199938,264938
33110168,10350,0,10350
33110169,0,233921,233921
33110171,4435,107731,112166
33110172,13852,89066,102918
33110173,0,866230,866230
33110175,4385,170975,175360
33110176,43631,469423,513054
33110177,20000,175675,195675
33110178,39000,796476,835476
33110179,29415,543368,572783
33110181,0,46567,46567
