rs_school_emis_code,sc_total_exp_current_year,sc_balance,total_funds_available
31110296,20000,128424,148424
31110298,0,112799,112799
31110299,178750,23389,202139
31110300,139535,822236,961771
31110301,130000,492721,622721
31110302,4900,444499,449399
31110303,100000,1191960,1291960
31110305,54000,2288,56288
31110306,0,0,0
31110307,52000,895928,947928
31110308,40000,159663,199663
31110309,0,85882,85882
31110311,35000,223328,258328
31110313,70480,1043341,1113821
31110315,62820,1023,63843
31110316,57000,887780,944780
31110317,50000,204766,254766
31110318,45000,49902,94902
31110319,0,238133,238133
31110320,0,31740,31740
31110322,120000,963380,1083380
31110323,0,169010,169010
31110324,0,580902,580902
31110325,0,80936,80936
31110326,30000,12305,42305
31110336,0,137984,137984
31110344,0,95194,95194
31110347,35,328856,328891
31110348,111076,465,111541
31110349,0,0,0
31110350,48000,33380,81380
31110352,100000,61029,161029
31110353,50000,48654,98654
31110357,0,864853,864853
31110358,0,52392,52392
31110359,90000,240,90240
31110360,103290,157187,260477
31110362,48000,73774,121774
31110363,50000,61969,111969
31110364,227161,897,228058
31110365,200000,947663,1147663
31110366,145106,1249559,1394665
31110367,139000,769,139769
31110368,139000,1851,140851
31110370,100070,1002438,1102508
31110371,50000,271823,321823
31110372,135917,0,135917
31110373,50000,64983,114983
31110374,0,0,0
31110375,0,111252,111252
31110376,90000,905476,995476
31110377,0,160525,160525
31110378,89200,870197,959397
31110379,50000,77371,127371
31110380,63000,102,63102
31110381,120035,432454,552489
31110382,214535,1327,215862
31110383,35,252363,252398
31110384,62000,862175,924175
31110385,0,159453,159453
31110386,50000,872682,922682
31110391,50000,75487,125487
31110392,0,0,137425
31110395,0,87174,87174
31110396,70000,1154878,1224878
31110398,30000,33424,63424
31110400,91800,76117,167917
31110401,0,1082654,1082654
31110403,0,0,0
31110405,25000,561,25561
31110416,0,1482337,1482337
31110417,100070,28584,128654
31110418,60070,31864,91934
31110419,76536,121217,197753
31110420,0,164973,164973
31110432,60000,1011243,1071243
31110433,90000,1913,91913
31110434,200000,17669,217669
31110438,150000,686223,836223
31110439,76000,1829,77829
